CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,ON02_01,ON02_02,ON02_03,ON04,ON19_01,ON19_02,ON21,ON22,ON22_02,ON23,ON23_02,ON25,ON26,ON26_02,ON27_01,ON27_02,ON28_01,ON28_02,ON15_01,ON15_02,ON15_03,ON15_04,ON15_05,ON15,ON16,ON31,ON17,ON17s,ON08_03,ON08_04,ON08_05,ON08_05a,ON08_06,ON08_06a,ON09,ON29,ON30,ON10,ON18,ON13,ON13_08,ON14,ON14_08,ON12,K201_01,K201_02,K201_03,K202_01,K202_02,K203,K206,K207,K207_02,K208,K208_02,K209,K210,K210_02,K211_01,K211_02,K212_01,K212_02,K204_01,K204_02,K204_03,K204_04,K204_05,K204,K205,K213,CQ13,CQ02_01,CQ02_02,CQ01_01,CQ01_02,CQ01_03,CQ01_04,CQ01_05,CQ01_06,CQ01_07,CQ01_08,CQ01_09,CQ03_01,CQ04_01,CQ05_01,CQ10_01,CQ10_02,CQ11,W210_01,W210_02,W202_01,W202_02,W201_01,W201_02,W201_03,W201_04,W201_05,W201_06,W201_07,W201_08,W201_09,W203_01,W204_01,W205_01,W213,GR03_01,GR03_02,ON35_01,W310_01,W310_02,W302_01,W302_02,W301_01,W301_02,W301_03,W301_04,W301_05,W301_06,W301_07,W301_08,W301_09,W303_01,W304_01,W305_01,W313,
154,P1GMR2C1D4,,V0,interview,14.01.23 10:39,1,0,9,9,0,0,1.14,07.05.18,4,5,2,14,100,1,1,,1,,3,1,,09:00,08:00,10:00,09:00,2,1,1,2,1,2,1,1,4,,2,3,16,1,4,1,1,1,2,4,4,4,,4,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1SXEBNF5YZ,,V0,interview,14.01.23 12:28,1,0,9,9,0,0,1.23,11.11.17,0,1,1,21,113,1,1,,1,,3,2,Fährt täglich Roller,20:00,07:00,20:00,07:30,2,1,1,1,1,1,1,1,151,,2,2,0,1,1,1,1,1,2,3,3,4,,4,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,7SDV2CZWBZ,,V0,interview,14.01.23 19:11,1,0,9,9,0,0,0.84,06.09.20,2,1,1,14,92,1,1,,1,,1,1,,21:30,20:00,20:00,09:00,2,1,1,1,1,1,5,1,144,,2,1,,2,,2,1,1,2,4,1,4,,4,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,CBA1WY5PNY,,V0,interview,15.01.23 10:12,1,0,9,9,0,0,0.84,08.08.20,2,2,2,14,93,1,1,,1,,4,1,,19:30,07:30,20:30,09:00,2,1,1,1,1,1,2,1,144,,2,1,8,1,3,1,1,2,1,5,5,2,,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,G56P38D1DE,,V0,interview,15.01.23 11:01,1,0,9,9,0,0,0.77,17.07.17,2,2,1,21,120,1,2,Covid19,1,,3,1,,19:00,06:30,20:00,08:00,2,1,1,1,1,1,1,1,-1,,2,2,8,1,5,1,1,2,1,3,4,6,,5,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,X48F9ZNF4L,,V0,interview,15.01.23 16:44,1,0,9,9,0,0,0.89,15.09.18,2,1,1,15,102,1,2,Bronchitis,1,,4,1,,20:45,08:00,20:45,08:00,2,2,1,1,1,2,1,1,8,,1,1,,2,,2,4,1,2,4,2,4,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,FG3F9S6TKQ,,V0,interview,15.01.23 18:12,1,0,9,9,0,0,1.28,27.01.17,1,1,1,17,122,1,2,Neurodermitis,2,Neurodermitis,3,2,"Fußball spielen, Basketball",20:00,06:15,20:00,07:00,2,1,1,1,2,2,1,1,-1,,1,1,,2,,2,3,1,2,3,3,4,,-1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,G68G28HH6A,,V0,interview,16.01.23 06:51,1,0,9,9,0,0,0.72,11.07.19,2,1,2,23,117,1,1,,1,,3,1,,19:00,06:00,19:00,08:00,2,1,1,1,1,1,4,1,-1,,2,1,,2,,2,2,1,2,3,3,4,,8,Bundeswehr,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,HHX6T4WPS1,,V0,interview,16.01.23 15:28,1,0,9,9,0,0,0.81,23.08.17,1,1,1,18,115,1,1,,1,,4,2,Schwimmen,19:30,06:30,06:30,19:30,2,1,1,1,2,2,3,2,-1,,2,2,5,1,2,1,1,1,2,4,4,4,,4,,11,19.10.20,1,2,13,95,1,1,1,,1,,4,2,Schwimmkurs,06:30,20:00,06:30,20:00,2,1,1,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,KV2NVXH26W,,V0,interview,16.01.23 16:31,1,0,9,9,0,0,0.59,01.02.18,2,2,2,19,110,1,1,,1,,2,1,,19:30,05:30,22:00,10:00,1,1,1,1,1,-1,-1,1,-1,,2,2,10,1,4,1,1,2,1,2,4,4,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,HDLT935RP9,,V0,interview,16.01.23 16:53,1,0,9,9,0,0,1.87,20.09.18,1,3,1,15,100,1,1,,1,,4,1,,19:00,06:30,19:00,06:30,2,1,1,1,1,1,4,1,-1,,2,3,12,1,4,1,1,1,2,4,3,4,,4,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,WDULNEAFUX,,V0,interview,16.01.23 22:17,1,0,9,9,0,0,1.64,20.02.17,5,1,2,28,120,1,1,,1,,3,1,,22:00,08:15,23:00,12:00,2,1,1,1,1,1,5,1,27,,4,1,,2,,2,1,1,2,4,2,4,,4,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,TUWT5DZHSU,,V0,interview,17.01.23 06:01,1,0,9,9,0,0,0.93,18.01.16,2,1,2,23,120,1,1,,1,,4,1,,19:30,06:30,21:00,06:30,2,1,1,2,2,3,3,1,-1,,2,2,6,1,0,1,1,1,2,1,1,8,Elternzeit,8,Elternzeit,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,QTYKXKYFN1,,V0,interview,17.01.23 09:09,1,0,9,9,0,0,0.88,14.09.18,1,1,1,17,110,1,1,,1,,3,1,,20:00,06:00,20:00,07:00,2,1,1,1,1,1,2,1,-1,,2,2,4,1,1,1,2,1,2,2,1,4,,4,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,ZYWYQ4AYZ9,,V0,interview,17.01.23 12:03,1,0,9,9,0,0,1.38,28.08.18,0,1,2,16,113,1,1,,2,Neurodermitis,3,1,,21:00,08:00,22:00,08:00,2,1,1,1,1,1,3,1,150,,2,3,4,1,0,1,1,1,2,2,2,8,Erziehungsurlaub,4,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,7RLSZB6EC2,,V0,interview,17.01.23 13:17,1,0,9,9,0,0,1.66,03.06.19,3,1,1,17,105,1,1,,1,,3,1,,20:00,06:15,20:00,07:30,2,1,1,1,1,1,2,1,57,,2,2,3,1,1,1,1,1,2,4,4,2,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,8G1WL6AKT4,,V0,interview,17.01.23 13:28,1,0,9,9,0,0,1.11,03.12.16,3,2,2,22,128,1,1,,1,,3,2,Fahrrad fahren inliner,21:00,06:30,21:00,08:00,2,1,1,1,2,2,4,1,57,,1,2,8,1,,2,1,1,2,4,4,7,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,KYQYPSUA2B,,V0,interview,17.01.23 13:49,1,0,9,9,0,0,1.44,06.03.18,1,1,2,19,110,1,1,,1,,3,2,Turnen,20:30,07:30,21:00,08:30,2,1,1,1,1,1,2,1,53,,2,1,4,1,,2,1,1,2,4,4,6,,4,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,7HCKCT6LK7,,V0,interview,17.01.23 15:00,1,0,9,9,0,0,0.59,05.10.20,2,2,2,15,82,1,1,,1,,2,1,,20:30,06:30,20:30,06:30,2,1,1,1,1,1,1,1,-1,,2,2,10,1,2,1,1,1,2,2,3,4,,6,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,VDMZH2L4NB,,V0,interview,17.01.23 17:28,1,0,9,9,0,0,1.28,23.03.17,1,1,2,19,112,2,1,,1,,2,2,"Turnen (Parcour, Laut-ABC, Spiele)",19:30,06:00,19:30,06:30,2,1,1,1,1,1,2,1,-1,,2,2,5,1,5,1,6,1,2,2,2,4,,4,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,EH4ZUARGU3,,V0,interview,17.01.23 18:12,1,0,9,9,0,0,0.84,03.02.19,1,2,1,19,116,2,1,,1,,4,2,Fussball,20:00,07:00,21:00,08:00,2,2,1,1,1,2,5,2,20,,3,3,9,1,3,1,1,1,2,4,3,6,,7,,8,06.10.19,1,2,16,100,1,2,1,,1,,4,1,,20:00,07:00,20:00,08:00,2,1,1,1,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Z7F7RZSFM8,,V0,interview,17.01.23 20:23,1,0,9,9,0,0,1.23,28.05.20,1,3,1,13,90,1,1,,1,,4,1,,20:00,06:15,20:15,07:45,2,1,1,1,1,1,1,1,-1,,2,3,8,1,2,1,1,1,2,4,4,4,,5,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,6M9755QR7E,,V0,interview,17.01.23 22:13,1,0,9,9,0,0,1.03,02.07.19,1,1,2,16,102,1,1,,1,,3,1,,20:30,07:30,21:00,08:00,2,1,1,2,1,2,1,1,144,,2,2,3,1,1,1,2,1,2,2,2,4,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,ZAPSPFS66V,,V0,interview,18.01.23 10:17,1,0,9,9,0,0,1.21,24.01.20,1,1,1,15,98,1,2,"Asthma, Neurodermitis",2,"Asthma, Neurodermitis",3,2,Kinderturnen,19:30,08:00,22:00,09:00,2,2,1,1,2,3,5,1,54,,2,1,,2,,2,1,1,2,4,4,7,,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,MKV2PYN5YL,,V0,interview,18.01.23 10:24,1,0,9,9,0,0,1.21,12.10.20,1,2,1,15,92,2,1,,1,,4,1,,21:00,07:00,21:00,07:30,2,1,1,1,1,1,1,1,53,,1,2,6,1,2,1,1,1,-1,4,-1,8,Integrationskurs,-1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,572QCA17FG,,V0,interview,18.01.23 11:02,1,0,9,9,0,0,1.71,12.08.19,2,3,1,15,80,1,1,,1,,4,1,,20:30,06:45,23:00,11:00,2,1,1,1,1,1,2,1,141,,2,3,8,1,3,1,2,1,2,1,1,7,,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,ZQYHV2LRLD,,V0,interview,18.01.23 11:36,1,0,9,9,0,0,1.94,08.05.19,1,1,1,18,105,1,1,,1,,3,1,,20:00,07:30,20:00,07:30,2,1,1,1,1,1,2,1,144,,2,2,3,1,0,1,1,1,2,4,4,8,Mutterschutz,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,VV1HG2Z6EF,,V0,interview,18.01.23 11:45,1,0,9,9,0,0,1.79,18.04.19,1,1,1,16,100,1,1,,1,,2,1,,19:00,06:15,19:00,06:15,2,2,1,1,1,2,4,1,19,,2,1,,2,,2,2,1,2,4,4,4,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,LTQUAB84AD,,V0,interview,18.01.23 11:47,1,0,9,9,0,0,1.67,21.01.17,2,3,1,20,128,1,1,,1,,3,1,,23:00,07:00,23:00,08:00,1,1,1,1,1,-1,-1,1,141,,2,3,13,1,7,1,1,1,2,5,2,7,,4,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,6K5BMHKM3V,,V0,interview,18.01.23 12:54,1,0,9,9,0,0,1.68,18.09.16,3,1,2,17,120,1,1,,1,,2,2,schwimmen,21:30,08:00,22:00,09:30,2,1,1,1,1,1,1,1,27,,2,1,6,1,,2,1,1,2,4,4,4,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,UCL365WV9R,,V0,interview,18.01.23 13:27,1,0,9,9,0,0,1.82,23.06.18,2,1,2,16,115,1,1,,1,,4,1,,19:30,07:30,19:30,08:30,2,1,1,1,1,1,1,1,156,,2,2,4,1,2,1,1,1,2,1,1,4,,4,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,QF56WAWTT3,,V0,interview,18.01.23 13:32,1,0,9,9,0,0,1.33,10.11.17,3,1,1,16,115,2,1,,1,,2,1,,20:30,08:00,20:30,09:00,2,1,1,1,2,2,2,1,-1,,2,1,,2,,2,2,1,-1,3,4,2,,-1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,GQUHR9GQBQ,,V0,interview,18.01.23 14:01,1,0,9,9,0,0,1.09,01.01.18,2,3,1,13,110,1,1,,1,,2,1,,20:00,07:00,22:00,08:00,2,1,1,1,1,1,1,1,27,,2,2,18,1,8,1,3,1,2,1,1,7,,-1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,T8CY494L7C,,V0,interview,18.01.23 14:10,1,0,9,9,0,0,2.07,13.09.18,3,1,1,15,115,2,1,,1,,2,1,,19:00,06:00,19:30,07:00,2,1,1,1,1,1,3,1,-1,,1,1,,2,,2,4,1,2,4,4,3,,4,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,KV2NVXH26W,,V0,interview,18.01.23 15:14,1,0,9,9,0,0,2.12,01.02.18,0,2,2,19,110,1,1,,1,,3,1,,20:00,07:00,22:00,10:00,1,1,1,1,1,-1,-1,1,-1,,2,2,4,1,10,1,1,2,1,2,4,4,,4,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,VDMZH2L4NB,,V0,interview,18.01.23 17:52,1,0,9,9,0,0,1.51,23.03.17,1,1,2,19,116,2,1,,1,,2,2,Turnen,19:30,06:00,19:30,06:30,2,1,1,1,1,1,2,1,-1,,2,2,5,1,5,1,4,1,2,2,2,4,,4,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,8H7RBTALAF,,V0,interview,18.01.23 18:57,1,0,9,9,0,0,0.38,01.07.19,1,1,2,20,105,1,2,Hüftdysplasie links,1,,4,1,,19:30,06:00,20:00,06:00,2,1,1,1,1,1,2,1,-1,,2,1,,2,,2,3,1,4,2,1,4,,8,Rentner,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,6R6UB4YFLG,,V0,interview,18.01.23 22:37,1,0,9,9,0,0,0.92,19.02.18,2,2,1,21,117,2,1,,1,,2,2,wöchentlicher Schwimmkurs,19:30,07:00,21:00,07:00,2,1,1,1,2,2,3,1,27,,2,2,7,1,4,1,2,1,2,4,4,4,,4,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,K79ZZ7BYLH,,V0,interview,19.01.23 10:53,1,0,9,9,0,0,0.76,15.01.17,2,1,1,30,125,1,1,,1,,4,2,Fussballverein,19:30,07:00,21:00,09:00,2,1,1,2,1,2,4,1,-1,,2,2,6,1,0,1,1,1,2,3,3,5,,4,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,RX7H1ULT73,,V0,interview,19.01.23 11:13,1,0,9,9,0,0,1.22,25.01.17,1,2,1,23,128,1,1,,1,,4,2,Fußball,19:30,07:00,20:30,07:00,2,1,1,1,1,1,2,1,-1,,2,2,7,1,5,1,1,1,2,4,4,4,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,BT26UZU6DB,,V0,interview,19.01.23 14:55,1,0,9,9,0,0,1.31,20.05.17,1,1,2,20,122,1,1,,2,Neurodermitis,2,2,Turnen,20:00,08:00,20:30,08:00,2,1,1,1,1,1,2,1,21,,2,2,5,1,1,1,1,1,2,4,4,8,Elternzeit,6,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,5K3F3MA6KA,,V0,interview,19.01.23 16:51,1,0,9,9,0,0,1.30,25.02.20,1,1,1,13,95,1,1,,1,,4,1,,20:00,06:00,20:30,07:30,2,1,1,1,1,1,2,1,-1,,2,2,2,1,0,1,1,1,2,3,4,5,,5,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,HDLT935RP9,,Vx1,interview,20.01.23 08:00,1,0,3,3,0,0,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1SXEBNF5YZ,,Vx1,interview,20.01.23 08:00,1,0,3,3,0,0,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,2,1,1,1,1,2,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,VDMZH2L4NB,,Vx1,interview,20.01.23 08:01,1,0,3,3,0,0,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,A3ER5WF9RA,,Vx1,interview,20.01.23 08:01,1,0,3,3,0,0,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,3,4,1,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,KPQ2QR8LZ5,,Vx1,interview,20.01.23 08:02,1,0,3,3,0,0,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,1,1,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1KGW5NWVQW,,Vx1,interview,20.01.23 08:06,1,0,3,3,0,0,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,2,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PXCVN5637V,,Vx1,interview,20.01.23 08:07,1,0,4,4,0,0,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,1,1,1,1,1,2,2,1,1,1,1,1,1,22.02.18,1,2,22.02.18,2,-1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
207,QFE54ZVSHT,,Vx1,interview,20.01.23 08:07,1,0,3,3,0,0,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,1,1,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,G68G28HH6A,,Vx1,interview,20.01.23 08:10,1,0,3,3,0,0,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,URBLD4MCB9,,Vx1,interview,20.01.23 08:11,1,0,3,3,0,0,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,1,1,1,1,2,1,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PCEXKHKTKX,,Vx1,interview,20.01.23 08:13,1,0,3,3,0,0,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,8265K3ZA7H,,Vx1,interview,20.01.23 08:13,1,0,3,3,0,0,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,EEZGGKYS16,,Vx1,interview,20.01.23 08:15,1,0,3,3,0,0,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,H5Y7AMVML6,,Vx1,interview,20.01.23 08:18,1,0,3,3,0,0,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,2,1,1,1,1,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,BT26UZU6DB,,Vx1,interview,20.01.23 08:21,1,0,3,3,0,0,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,ZVBU9M31CS,,Vx1,interview,20.01.23 08:21,1,0,3,3,0,0,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,-1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,SHLUYX8S9N,,Vx1,interview,20.01.23 08:22,1,0,4,4,0,0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,31.07.17,2,2,08.10.20,3,-1,-1,1,1,1,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
217,GMKW8NALDC,,Vx1,interview,20.01.23 08:22,1,0,3,3,0,0,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,-1,3,1,1,1,3,3,3,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
